MIX S. NO,Quartz (%),Barite (%),Detergent (%),Gypsum (%),Cement (%),Water (%),Total (%),Length(mm),Diameter(mm),Wt(g),Density(Kg/m^3),Density(g/cm^3),peak load(kg),UCS(Mpa)
1A,12,29,10,7,14,28,100,57.823333,37.61,106.85,1663.630182,1.66363,20,0.176634918
1B,12,29,10,7,14,28,100,57.2,36.853333,104.54,1713.66123,1.713661,25,0.229953324
2A,10,27,10,8,16.7,28,100,64.3,36.853333,114.4,1668.220892,1.668221,26,0.239151457
2B,10,27,10,8,16.7,28,100,70,36.75,117.35,1580.747203,1.580747,32,0.295997828
3A,10,27,10,8,17,28,100,71.836667,37.08,134.9,1739.315557,1.739316,33,0.299838725
3B,10,27,10,8,17,28,100,73.88,37.19,135.17,1684.58576,1.684586,31,0.280002926
4A,10,30,10,10,20,20,100,114,45.8,375,1997.043456,1.997043,27,0.160799999
4B,10,30,10,10,20,20,100,114.2,46.1,363,1904.718172,1.904718,29.8,0.175173193
5A,11,35,10,6,12.73,25,100,116,45.95,371,1929.020948,1.929021,32,0.189335556
5B,11,35,10,6,12.73,25,100,115.6,46.05,340.2,1767.295864,1.767296,35,0.206187346
6A,12,28,10,10,20,20,100,114.9,46.1,401.43,2093.533915,2.093534,341,2.004498619
6B,12,28,10,10,20,20,100,114.62,45.55,387.37,2074.344441,2.074344,405,2.438549039
6C,12,28,10,10,20,20,100,84.66,46,280,1990.472394,1.990472,99,0.584484185
6D,12,28,10,10,20,20,100,116.87,46.4,401.43,2031.715413,2.031715,350,2.030884927
6E,12,28,10,10,20,20,100,113.98,45.65,387.35,2076.755641,2.076756,360,2.158112947
6F,12,28,10,10,20,20,100,117,46.3,400.2,2031.988733,2.031989,372,2.16787477
7A,5,25,10,30,10,20,100,110.02,46.07,375,2045.1033,2.045103,16,0.0942
7B,5,25,10,30,10,20,100,106.3,46.05,363,2050.719,2.050719,24,0.1414
7C,5,25,10,30,10,20,100,107.22,45.93,371,2088.802,2.088802,32,0.1895
8A,5,25,8,28,15,19,100,112.92,46.07,371,1971.327,1.971327,45,0.2649
8B,5,25,8,28,15,19,100,113.53,47.525,380,1887.2123,1.887212,52,0.2876
8C,5,25,8,28,15,19,100,111.92,45.93,392,2114.3532,2.114353,60,0.3553
9A,5,25,7,25,18,20,100,109.2,46.5,370,1995.562,1.995562,329,1.9008
9B,5,25,7,25,18,20,100,107.34,46.06,367,2052.3369,2.052337,435,2.5615
9C,5,25,7,25,18,20,100,108.22,46.07,371,2056.9418,2.056942,460,2.7075
10A,5,25,9,27,12,22,100,112.2,47.2,355,1808.6043,1.808604,17,0.0953
10B,5,25,9,27,12,22,100,110.52,48.2,352,1745.8212,1.745821,12,0.0645
10C,5,25,9,27,12,22,100,109.56,45.55,337,1887.9617,1.887962,20,0.1204
11A,5,25,8,26,14,22,100,110.5,45.13,333,1884.2709,1.884271,25,0.1533
11B,5,25,8,26,14,22,100,112.63,45.13,360,1998.526,1.998526,20,0.1227
11C,5,25,8,26,14,22,100,109.87,45.77,351,1942.0402,1.94204,26,0.155
12A,5,25,7,25,15,23,100,108.67,45.02,315,1821.302,1.821302,28,0.1726
12B,5,25,7,25,15,23,100,109.52,45.89,314,1733.7727,1.733773,32,0.1898
12C,5,25,7,25,15,23,100,106.67,45.34,343,1991.9611,1.991961,35,0.2127
13A,5,25,6,24,16,24,100,110.52,45.68,333,1838.8369,1.838837,35,0.2095
13B,5,25,6,24,16,24,100,111.1,45.25,314,1757.8041,1.757804,40,0.244
13C,5,25,6,24,16,24,100,110.87,45.91,343,1869.2076,1.869208,42,0.2489
